Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Adrien,PF,25,HOU,8,0,63,7,16,0,0,7,16,7,12,5,17,22,1,0,2,2,13,21
2,Arron Afflalo,SG,26,DEN,62,62,2086,329,699,88,221,241,478,197,247,40,157,197,149,36,13,85,134,943
3,Blake Ahearn,PG,27,UTA,4,0,30,4,14,2,9,2,5,0,0,0,2,2,1,0,0,5,4,10
4,Solomon Alabi,C,23,TOR,14,0,122,13,36,0,0,13,36,7,8,15,32,47,3,2,9,5,11,33
5,Cole Aldrich,C,23,OKC,26,0,173,22,42,0,0,22,42,13,14,13,35,48,3,8,16,9,22,57
6,LaMarcus Aldridge,PF,26,POR,55,55,1994,483,943,2,11,481,932,223,274,150,292,442,134,51,45,111,153,1191
7,Lavoy Allen,PF,22,PHI,41,15,624,79,167,0,0,79,167,11,14,47,124,171,34,13,18,20,73,169
8,Ray Allen*,SG,36,BOS,46,42,1565,226,493,106,234,120,259,97,106,14,128,142,109,49,8,68,83,655
9,Tony Allen,SG,30,MEM,58,57,1525,210,448,8,26,202,422,140,175,98,135,233,79,104,33,94,142,568
10,Morris Almond,SG,26,WAS,4,0,67,6,17,1,3,5,14,1,3,1,7,8,2,7,0,1,6,14
11,Al-Farouq Aminu,SF,21,NOH,66,21,1477,150,365,13,47,137,318,86,114,95,213,308,66,59,34,91,136,399
12,Lou Amundson,PF,29,IND,60,0,753,89,207,0,0,89,207,35,82,94,128,222,14,27,44,45,125,213
13,Chris Andersen,C,33,DEN,32,1,486,59,108,0,0,59,108,50,82,48,100,148,6,19,46,17,52,168
14,Alan Anderson,SF,29,TOR,17,12,461,55,142,24,61,31,81,29,34,8,26,34,26,5,3,25,35,163
15,James Anderson,SG,22,SAS,51,2,603,66,174,19,68,47,106,39,52,16,63,79,41,8,2,30,35,190
16,Ryan Anderson,PF,23,ORL,61,61,1964,332,757,166,422,166,335,150,171,224,247,471,54,50,26,57,146,980
17,Carmelo Anthony,SF,27,NYK,55,55,1876,441,1025,68,203,373,822,295,367,88,256,344,200,62,24,144,156,1245
18,Joel Anthony,C,29,MIA,64,51,1349,85,152,0,0,85,152,49,71,100,150,250,9,36,84,45,126,219
19,Gilbert Arenas,PG,30,MEM,17,0,211,26,64,13,39,13,25,7,10,2,16,18,18,11,1,12,35,72
20,Trevor Ariza,SF,26,NOH,41,41,1350,168,403,29,87,139,316,79,102,41,174,215,135,69,25,76,73,444
21,Ömer Aşık,C,25,CHI,66,2,971,79,156,0,0,79,156,47,103,127,223,350,32,30,68,68,121,205
22,D.J. Augustin,PG,24,CHA,48,46,1408,183,487,61,179,122,308,105,120,24,85,109,307,36,1,110,65,532
23,Gustavo Ayón,PF,26,NOH,54,24,1088,140,261,0,1,140,260,39,63,86,179,265,74,53,46,46,118,319
24,Jeff Ayres,C,24,IND,20,1,106,15,36,0,0,15,36,4,7,12,21,33,4,3,2,2,16,34
25,Kelenna Azubuike,SG,28,DAL,3,0,18,3,8,1,3,2,5,0,0,0,0,0,0,1,0,4,1,7
26,Luke Babbitt,SF,22,POR,40,4,537,71,173,43,100,28,73,17,20,16,79,95,16,10,4,27,46,202
27,Renaldo Balkman,SF,27,NYK,14,0,115,16,32,2,9,14,23,8,11,6,20,26,5,4,3,6,14,42
28,Leandro Barbosa,SG,29,TOT,64,0,1382,271,637,65,170,206,467,101,124,33,95,128,96,56,7,94,135,708
29,J.J. Barea,PG,27,MIN,41,11,1032,167,418,53,143,114,275,76,98,14,100,114,232,21,0,103,61,463
30,Andrea Bargnani,C,26,TOR,31,31,1032,209,484,34,115,175,369,151,173,24,148,172,61,18,15,69,52,603
31,Matt Barnes,SF,31,LAL,63,16,1440,175,387,46,138,129,249,95,128,97,247,344,126,35,48,73,152,491
32,Earl Barron,C,30,GSW,2,0,9,2,4,0,0,2,4,0,0,1,0,1,0,0,0,0,5,4
33,Brandon Bass,PF,26,BOS,59,39,1868,303,632,0,0,303,632,132,163,95,270,365,55,34,54,65,135,738
34,Tony Battie,C,35,PHI,27,11,295,19,51,0,1,19,50,4,4,8,59,67,16,4,6,4,26,42
35,Shane Battier,SF,33,MIA,65,10,1499,113,292,62,183,51,109,23,37,56,100,156,82,64,33,37,105,311
36,Nicolas Batum,SF,23,POR,59,34,1791,289,641,107,274,182,367,133,159,81,190,271,84,57,60,90,105,818
37,Jerryd Bayless,PG,23,TOR,31,11,705,117,276,44,104,73,172,75,88,8,58,66,118,24,4,53,70,353
38,Michael Beasley,SF,23,MIN,47,7,1087,221,497,38,101,183,396,61,95,39,168,207,45,18,19,80,83,541
39,Rodrigue Beaubois,PG,23,DAL,53,12,1151,188,445,38,132,150,313,58,69,19,132,151,152,56,28,70,98,472
40,Marco Belinelli,SG,25,NOH,66,55,1966,286,686,107,284,179,402,101,129,19,153,172,101,48,5,69,115,780
41,Raja Bell,SG,35,UTA,34,33,796,81,174,34,87,47,87,21,25,6,43,49,38,13,2,21,78,217
42,Keith Benson,C,23,GSW,3,0,9,0,1,0,0,0,1,0,0,2,1,3,0,0,0,0,0,0
43,Mike Bibby,PG,33,NYK,39,4,557,35,124,27,85,8,39,6,8,5,54,59,80,21,3,20,45,103
44,Andris Biedriņš,C,25,GSW,47,35,739,39,64,0,0,39,64,1,9,45,131,176,16,23,45,14,125,79
45,Chauncey Billups,SG,35,LAC,20,20,607,83,228,48,125,35,103,85,95,4,46,50,80,9,3,38,40,299
46,Bismack Biyombo,C,19,CHA,63,41,1455,129,278,0,0,129,278,69,143,113,255,368,27,20,115,71,145,327
47,DeJuan Blair,PF,22,SAS,64,62,1363,269,504,0,1,269,503,73,119,154,197,351,78,59,12,92,168,611
48,Steve Blake,PG,31,LAL,53,5,1237,101,268,53,158,48,110,21,27,9,76,85,175,39,2,72,75,276
49,Andray Blatche,PF,25,WAS,26,13,626,93,245,2,7,91,238,33,49,42,108,150,28,20,17,37,54,221
50,Eric Bledsoe,PG,22,LAC,40,1,464,49,126,6,30,43,96,28,44,22,43,65,66,31,14,47,58,132
51,Keith Bogans,SF,31,NJN,5,1,94,8,21,3,12,5,9,2,5,5,6,11,3,2,0,3,15,21
52,Andrew Bogut,C,27,MIL,12,12,364,61,136,0,1,61,135,14,23,22,78,100,31,12,24,24,36,136
53,Matt Bonner,PF,31,SAS,65,2,1326,154,350,105,250,49,100,16,21,29,185,214,61,15,21,14,68,429
54,Trevor Booker,PF,24,WAS,50,32,1261,181,341,1,2,180,339,56,93,119,206,325,40,48,43,58,138,419
55,Carlos Boozer,PF,30,CHI,66,66,1948,448,842,0,1,448,841,95,137,114,450,564,125,63,24,115,168,991
56,Chris Bosh,PF,27,MIA,57,57,2007,393,807,10,35,383,772,229,279,94,358,452,103,51,45,117,128,1025
57,Earl Boykins,PG,35,HOU,8,0,111,12,36,2,9,10,27,13,15,0,11,11,17,1,0,7,5,39
58,Craig Brackins,PF,24,PHI,14,1,88,9,33,3,9,6,24,1,2,5,10,15,8,0,1,4,6,22
59,Avery Bradley,PG,21,BOS,64,28,1368,200,402,22,54,178,348,62,78,34,81,115,87,43,12,75,109,484
60,Elton Brand,C,32,PHI,60,60,1732,287,581,0,1,287,580,85,116,145,284,429,97,58,97,65,176,659
61,Corey Brewer,SF,25,DEN,59,17,1287,201,463,33,127,168,336,90,130,43,107,150,88,72,17,56,113,525
62,Ronnie Brewer,SG,26,CHI,66,43,1635,190,445,19,69,171,376,56,100,72,159,231,137,72,21,59,64,455
63,Jon Brockman,PF,24,MIL,35,0,239,15,45,0,1,15,44,7,15,33,42,75,9,4,1,10,33,37
64,MarShon Brooks,SG,23,NJN,56,47,1648,274,640,47,150,227,490,113,148,70,130,200,131,52,15,118,116,708
65,Derrick Brown,SF,24,CHA,65,17,1443,212,409,6,24,206,385,94,141,95,141,236,67,48,12,55,96,524
66,Kwame Brown,C,29,GSW,9,3,187,21,40,0,0,21,40,15,34,16,41,57,4,8,0,14,21,57
67,Shannon Brown,SG,26,PHO,59,19,1400,251,598,68,188,183,410,80,99,38,119,157,69,44,15,64,66,650
68,Kobe Bryant,SG,33,LAL,58,58,2232,574,1336,87,287,487,1049,381,451,66,247,313,264,69,18,204,105,1616
69,Chase Budinger,SF,23,HOU,58,9,1298,208,471,88,219,120,252,54,70,38,179,217,74,29,7,55,65,558
70,Alec Burks,SG,20,UTA,59,0,939,153,357,15,45,138,312,104,143,57,75,132,55,27,5,51,84,425
71,Caron Butler,SF,31,LAC,63,63,1871,287,705,92,257,195,448,87,107,44,186,230,78,52,9,77,123,753
72,Jimmy Butler,SG,22,CHI,42,0,359,32,79,2,11,30,68,43,56,23,33,56,14,11,5,14,20,109
73,Rasual Butler,SF,32,TOR,34,14,453,41,133,21,77,20,56,7,12,6,60,66,19,7,5,15,39,110
74,Derrick Byars,PF,27,SAS,2,0,37,3,11,0,6,3,5,4,4,6,5,11,1,2,0,0,2,10
75,Andrew Bynum,C,24,LAL,60,60,2112,444,796,1,5,443,791,234,338,192,517,709,85,27,116,152,104,1123
76,Will Bynum,PG,29,DET,36,0,514,74,194,7,29,67,165,49,64,10,46,56,66,23,3,54,61,204
77,José Calderón,PG,30,TOR,53,53,1799,218,477,59,159,159,318,60,68,19,141,160,468,47,3,104,94,555
78,Marcus Camby,C,37,TOT,59,53,1352,128,287,2,5,126,282,29,64,157,373,530,107,50,85,57,126,287
79,Brian Cardinal,SF,34,DAL,44,0,277,14,55,10,49,4,6,5,6,4,30,34,16,8,2,8,38,43
81,Matt Carroll,SG,31,CHA,53,2,596,52,157,8,43,44,114,30,38,8,50,58,38,16,7,24,52,142
82,Anthony Carter,PG,36,TOR,24,0,209,17,53,5,17,12,36,8,10,5,28,33,34,8,4,17,20,47
83,Vince Carter,SG,35,DAL,61,40,1542,223,542,74,205,149,337,95,115,32,173,205,139,56,25,84,134,615
84,Omri Casspi,SF,23,CLE,65,35,1341,166,412,53,168,113,244,74,108,63,165,228,66,37,21,64,115,459
85,Mario Chalmers,PG,25,MIA,64,64,1825,223,498,101,260,122,238,80,101,16,155,171,222,97,11,142,166,627
86,Tyson Chandler,C,29,NYK,62,62,2061,241,355,0,2,241,353,217,315,212,400,612,56,56,89,102,186,699
87,Wilson Chandler,SF,24,DEN,8,6,215,31,79,3,12,28,67,10,12,6,35,41,17,6,6,18,18,75
88,Josh Childress,SF,28,PHO,34,0,491,48,99,4,24,44,75,0,2,31,64,95,34,14,6,9,38,100
89,Earl Clark,PF,24,ORL,45,1,559,51,139,0,0,51,139,21,29,35,89,124,18,12,32,25,72,123
90,Norris Cole,PG,23,MIA,65,2,1260,177,450,21,76,156,374,66,85,21,70,91,133,44,2,105,124,441
91,Jason Collins,C,33,ATL,30,10,308,16,40,0,0,16,40,7,15,12,36,48,10,4,3,10,34,39
92,Darren Collison,PG,24,IND,60,56,1878,230,523,34,94,196,429,127,153,30,157,187,287,49,14,114,101,621
93,Nick Collison,PF,31,OKC,63,0,1307,120,201,0,1,120,200,44,62,119,155,274,82,33,28,61,153,284
94,Mike Conley,PG,24,MEM,62,61,2174,296,684,60,159,236,525,136,158,22,134,156,404,136,11,125,133,788
