Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,PF,29,SAC,72,30,1961,332,632,5,22,327,610,218,278,106,251,357,149,48,42,108,227,887
2,Alex Acker,SG,23,DET,5,0,35,4,16,1,5,3,11,0,0,1,4,5,4,1,0,4,4,9
3,Malik Allen,PF,27,CHI,54,20,701,121,247,1,1,120,246,23,38,44,96,140,20,14,16,34,92,266
4,Ray Allen*,SG,30,SEA,78,78,3022,681,1500,269,653,412,847,324,359,71,261,332,286,105,16,188,151,1955
5,Tony Allen,PG,24,BOS,51,9,978,129,274,11,34,118,240,100,134,32,79,111,67,51,18,67,126,369
6,Rafer Alston,PG,29,HOU,63,63,2431,280,738,102,312,178,426,99,143,36,219,255,425,101,15,157,194,761
7,Chris Andersen,C,27,NOK,32,2,570,56,98,0,0,56,98,49,103,61,94,155,6,8,41,26,84,161
8,Alan Anderson,SF,23,CHA,36,7,564,75,181,24,58,51,123,33,41,23,47,70,32,11,4,32,48,207
9,Derek Anderson,SG,31,TOT,43,11,1047,108,303,40,134,68,169,93,111,21,122,143,101,23,6,54,98,349
10,Shandon Anderson,SF,32,MIA,48,1,638,54,126,5,19,49,107,13,18,18,63,81,30,17,6,24,75,126
11,Martynas Andriuškevičius,C,19,CLE,6,0,9,0,1,0,0,0,1,0,0,1,3,4,0,2,0,0,1,0
12,Carmelo Anthony,SF,21,DEN,80,80,2941,756,1572,37,152,719,1420,573,709,122,272,394,216,88,42,218,229,2122
13,Rafael Araújo,C,25,TOR,52,34,601,53,145,0,1,53,144,15,28,43,101,144,15,24,6,42,104,121
14,Gilbert Arenas,PG,24,WAS,80,80,3384,746,1668,199,540,547,1128,655,799,59,221,280,484,161,25,297,286,2346
15,Trevor Ariza,SF,20,TOT,57,10,999,93,226,1,5,92,221,77,127,78,140,218,61,57,11,62,100,264
16,Darrell Armstrong,PG,37,DAL,62,2,622,43,128,11,48,32,80,33,42,18,63,81,86,27,3,58,71,130
19,Stacey Augmon,SF,37,ORL,36,3,385,25,73,0,0,25,73,21,30,18,35,53,23,12,6,11,40,71
20,Vin Baker,C,34,LAC,8,1,85,7,15,0,0,7,15,13,18,2,17,19,4,4,4,9,13,27
21,Marcus Banks,PG,24,TOT,58,29,1497,219,468,22,63,197,405,118,147,23,112,135,220,54,11,119,162,578
22,Leandro Barbosa,SG,23,PHO,57,11,1592,273,567,87,196,186,371,111,147,31,119,150,158,48,6,89,145,744
24,Andre Barrett,PG,23,TOT,19,0,282,38,104,2,14,36,90,9,12,9,16,25,52,10,0,15,13,87
25,Earl Barron,C,24,MIA,8,0,45,5,16,0,0,5,16,3,4,2,8,10,0,0,0,5,10,13
26,Brent Barry,SG,34,SAS,74,5,1259,156,345,80,202,76,143,39,59,29,130,159,123,39,27,52,99,431
27,Jon Barry,SG,36,HOU,20,0,342,25,65,12,32,13,33,24,29,1,30,31,26,13,1,22,25,86
28,Eddie Basden,SF,22,CHI,19,0,141,15,37,1,7,14,30,8,10,7,21,28,8,9,2,9,17,39
29,Brandon Bass,PF,20,NOK,29,1,268,28,70,0,0,28,70,12,19,18,50,68,3,3,7,11,18,68
30,Esteban Batista,PF,22,ATL,57,3,495,34,80,0,1,34,79,33,53,61,83,144,7,15,11,38,111,101
31,Tony Battie,C,29,ORL,82,82,2215,280,552,0,6,280,546,89,134,145,312,457,49,46,69,88,250,649
32,Shane Battier,SF,27,MEM,81,81,2839,303,621,65,165,238,456,147,208,164,265,429,136,92,114,90,223,818
34,Charlie Bell,SG,26,MIL,59,6,1283,180,410,71,168,109,242,63,89,21,99,120,130,59,5,41,126,494
35,Raja Bell,SG,29,PHO,79,79,2959,425,930,197,446,228,484,115,146,44,209,253,207,76,22,89,248,1162
36,Jonathan Bender,SF,25,IND,2,0,21,4,5,0,0,4,5,2,2,0,4,4,2,0,1,0,2,10
