Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jeff Adrien,PF,24,GSW,23,0,196,23,54,0,0,23,54,11,19,23,35,58,10,4,5,9,28,57
2,Arron Afflalo,SG,25,DEN,69,69,2324,312,627,105,248,207,379,138,163,45,206,251,168,34,31,71,153,867
3,Maurice Ager,SG,26,MIN,4,0,29,6,11,3,4,3,7,0,0,0,2,2,1,1,0,4,4,15
4,Alexis Ajinça,C,22,TOT,34,2,340,59,133,12,34,47,99,13,18,17,61,78,10,11,19,18,73,143
5,Solomon Alabi,C,22,TOR,12,0,59,3,15,0,0,3,15,0,2,7,7,14,2,2,2,3,5,6
6,Cole Aldrich,C,22,OKC,18,0,142,8,15,0,0,8,15,2,4,13,22,35,4,5,7,8,30,18
7,LaMarcus Aldridge,PF,25,POR,81,81,3211,707,1415,4,23,703,1392,351,444,278,431,709,170,82,94,153,220,1769
8,Malik Allen,PF,32,ORL,18,0,178,11,31,0,0,11,31,1,2,12,20,32,4,1,4,3,30,23
9,Ray Allen*,SG,35,BOS,80,80,2890,480,978,168,378,312,600,193,219,51,223,274,219,77,16,117,147,1321
10,Tony Allen,SG,29,MEM,72,31,1494,251,492,4,23,247,469,137,182,70,123,193,104,129,44,86,161,643
11,Al-Farouq Aminu,SF,20,LAC,81,14,1452,160,406,45,143,115,263,92,119,75,192,267,60,59,25,103,121,457
12,Lou Amundson,PF,28,GSW,46,7,691,83,183,0,0,83,183,34,87,81,104,185,17,14,33,24,87,200
13,Chris Andersen,C,32,DEN,45,0,732,82,137,0,1,82,136,86,135,75,144,219,20,23,58,25,79,250
14,David Andersen,PF,30,TOT,40,0,373,56,121,8,23,48,98,14,22,20,64,84,13,5,9,22,40,134
15,James Anderson,SF,21,SAS,26,2,286,31,81,18,46,13,35,14,18,2,21,23,18,3,6,13,24,94
