Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,PF,27,TOT,85,56,2684,501,1054,9,34,492,1020,373,429,189,450,639,174,68,37,184,222,1384
2,Malik Allen,PF,25,MIA,45,6,616,83,198,0,0,83,198,25,33,42,77,119,16,12,28,27,81,191
3,Ray Allen*,SG,28,SEA,56,56,2152,447,1017,148,378,299,639,245,271,69,217,286,268,71,11,156,132,1287
4,Rafer Alston,PG,27,MIA,82,28,2581,287,764,161,434,126,330,103,134,26,200,226,372,114,18,128,212,838
5,Chris Andersen,PF,25,DEN,71,0,1029,90,203,0,1,90,202,63,107,89,209,298,35,34,114,48,119,243
6,Derek Anderson,SG,29,POR,51,46,1810,230,612,79,259,151,353,155,188,26,156,182,228,66,3,90,79,694
7,Kenny Anderson,PG,33,IND,44,31,905,113,256,1,4,112,252,35,48,19,62,81,125,26,5,50,73,262
8,Shandon Anderson,SG,30,NYK,80,37,1974,238,564,36,128,202,436,123,161,53,169,222,122,68,17,118,182,635
9,Carmelo Anthony,SF,19,DEN,82,82,2995,624,1465,69,214,555,1251,408,525,183,315,498,227,97,41,247,225,1725
11,Gilbert Arenas,PG,22,WAS,55,52,2066,358,914,125,333,233,581,237,317,55,199,254,275,103,12,226,176,1078
12,Brandon Armstrong,SG,23,NJN,56,0,434,65,175,19,52,46,123,2,4,12,31,43,14,12,2,24,49,151
13,Darrell Armstrong,PG,35,NOH,79,22,2247,291,736,135,429,156,307,123,144,63,163,226,311,133,16,155,148,840
14,Carlos Arroyo,PG,24,UTA,71,71,2008,339,768,38,117,301,651,181,225,41,144,185,355,63,5,156,165,897
15,Chucky Atkins,PG,29,TOT,64,24,1544,192,484,81,241,111,243,73,97,9,84,93,223,45,2,92,102,538
16,Stacey Augmon,SF,35,NOH,69,24,1416,143,347,1,7,142,340,110,139,52,122,174,85,55,15,76,114,397
17,Vin Baker,PF,32,TOT,54,33,1313,208,432,1,3,207,429,114,157,112,168,280,66,29,32,77,160,531
18,Marcus Banks,PG,22,BOS,81,2,1385,177,442,27,86,150,356,99,131,30,103,133,175,88,13,125,171,480
19,Leandro Barbosa,PG,21,PHO,70,46,1500,210,470,83,210,127,260,47,61,23,100,123,165,93,7,120,184,550
20,Matt Barnes,SF,23,LAC,38,9,724,63,138,2,13,61,125,43,61,53,98,151,48,27,3,44,76,171
21,Dana Barros,SG,36,BOS,1,0,11,2,3,0,0,2,3,2,2,0,0,0,0,0,0,0,2,6
22,Brent Barry,SG,32,SEA,59,53,1803,215,427,114,252,101,175,91,110,21,183,204,342,85,16,139,121,635
23,Jon Barry,SG,34,DEN,57,9,1101,120,297,51,138,69,159,60,71,25,98,123,147,57,8,53,66,351
24,Mengke Bateer,C,28,TOR,7,0,40,4,7,0,0,4,7,0,0,5,3,8,1,1,0,2,10,8
25,Tony Battie,C,27,TOT,73,7,1478,170,384,2,9,168,375,66,89,118,241,359,58,26,67,63,159,408
26,Shane Battier,SF,25,MEM,79,1,1947,242,543,65,186,177,357,120,164,102,201,303,101,101,58,56,187,669
28,Jerome Beasley,PF,23,MIA,2,0,5,1,3,0,0,1,3,0,0,0,1,1,0,0,0,0,0,2
29,Raja Bell,SG,27,UTA,82,4,2020,329,805,62,166,267,639,195,248,60,181,241,107,63,13,111,262,915
30,Troy Bell,PG,23,MEM,6,0,34,4,18,0,4,4,14,3,3,3,1,4,4,1,0,6,6,11
31,Jonathan Bender,SF,23,IND,21,0,271,50,106,9,22,41,84,39,47,9,31,40,9,5,11,33,23,148
