Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
402,Gary Payton,PG,26,WAS,3,0,16,5,8,1,2,4,6,0,0,1,1,2,4,3,1,1,2,11
403,Theo Pinson,SG,23,BRK,18,0,211,25,73,12,46,13,27,19,22,4,32,36,21,6,0,18,15,81
404,Mason Plumlee,C,28,DEN,82,17,1731,262,442,2,10,260,432,111,198,165,359,524,243,66,76,126,252,637
405,Miles Plumlee,C,30,ATL,18,0,173,32,48,0,0,32,48,16,30,16,23,39,17,6,4,10,14,80
406,Jakob Pöltl,C,23,SAS,77,24,1273,187,290,0,0,187,290,49,92,178,232,410,93,29,68,48,124,423
407,Quincy Pondexter,SF,30,SAS,53,0,292,29,58,6,18,23,40,34,42,8,38,46,24,11,1,13,24,98
408,Otto Porter,SF,25,TOT,56,43,1683,299,643,104,256,195,387,78,96,54,260,314,120,82,31,65,108,780
409,Bobby Portis,PF,23,TOT,50,28,1299,279,628,75,191,204,437,77,97,109,294,403,72,35,20,74,145,710
410,Dwight Powell,C,27,DAL,77,22,1662,290,486,39,127,251,359,196,254,140,271,411,112,44,50,67,201,815
411,Norman Powell,SG,25,TOR,60,3,1126,193,400,68,170,125,230,62,75,16,123,139,91,39,13,65,96,516
412,Alex Poythress,PF,25,ATL,21,1,305,40,81,9,23,31,58,18,29,29,47,76,17,4,10,13,47,107
413,Zhou Qi,PF,23,HOU,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
414,Ivan Rabb,PF,21,MEM,49,13,721,116,212,3,15,113,197,49,69,70,136,206,54,17,14,35,90,284
415,Chasson Randle,PG,25,WAS,49,2,743,91,217,46,115,45,102,43,62,10,46,56,97,25,3,43,91,271
416,Julius Randle,PF,24,NOP,73,49,2232,571,1089,67,195,504,894,356,487,162,472,634,229,52,45,208,246,1565
417,J.J. Redick,SG,34,PHI,76,63,2379,452,1027,240,605,212,422,228,255,20,166,186,206,32,17,101,129,1372
418,Davon Reed,SG,23,IND,10,0,47,5,12,2,4,3,8,0,0,2,4,6,3,1,0,1,3,12
419,Cameron Reynolds,SG,23,MIN,19,0,259,33,78,21,51,12,27,8,9,4,27,31,13,6,2,5,26,95
420,Josh Richardson,SG,25,MIA,73,73,2539,423,1026,164,460,259,566,199,231,54,209,263,298,79,34,113,200,1209
421,Malachi Richardson,SG,23,TOR,22,0,103,9,29,8,25,1,4,4,5,2,11,13,0,1,0,8,13,30
422,Austin Rivers,SG,26,TOT,76,15,2028,232,572,104,327,128,245,50,95,25,137,162,167,47,23,68,207,618
423,Devin Robinson,SF,23,WAS,7,0,95,19,32,0,2,19,30,9,14,6,14,20,6,4,6,2,11,47
424,Duncan Robinson,PF,24,MIA,15,1,161,18,46,10,35,8,11,4,6,2,17,19,5,5,0,4,11,50
425,Glenn Robinson,SF,25,DET,47,18,610,74,176,18,62,56,114,32,40,17,54,71,21,14,8,18,45,198
426,Jerome Robinson,SG,21,LAC,33,0,320,44,110,18,57,26,53,6,9,3,38,41,19,11,3,13,46,112
427,Mitchell Robinson,C,20,NYK,66,19,1360,202,291,0,0,202,291,81,135,177,246,423,37,52,161,35,217,485
428,Rajon Rondo,PG,32,LAL,46,29,1369,175,432,51,142,124,290,23,36,34,209,243,367,57,7,127,100,424
429,Derrick Rose,PG,30,MIN,51,13,1392,363,753,54,146,309,607,137,160,33,107,140,220,31,12,82,57,917
430,Terrence Ross,SG,27,ORL,81,0,2150,440,1027,217,566,223,461,126,144,27,253,280,135,72,29,90,119,1223
431,Terry Rozier,PG,24,BOS,79,14,1791,258,666,119,337,139,329,73,93,32,275,307,231,68,21,68,101,708
432,Ricky Rubio,PG,28,UTA,68,67,1899,295,730,79,254,216,476,195,228,33,210,243,416,91,10,180,180,864
433,D'Angelo Russell,PG,22,BRK,81,81,2448,659,1517,234,635,425,882,160,205,53,262,315,563,100,20,253,141,1712
434,Domantas Sabonis,C,22,IND,74,5,1838,413,700,9,17,404,683,208,291,186,504,690,212,48,30,160,239,1043
435,Brandon Sampson,SG,21,CHI,14,2,214,28,60,11,29,17,31,4,6,3,13,16,10,8,3,12,19,71
436,JaKarr Sampson,SF,25,CHI,4,0,127,29,54,5,14,24,40,17,21,5,27,32,4,4,3,4,8,80
437,Dario Šarić,PF,24,TOT,81,41,2023,304,696,118,323,186,373,132,150,126,331,457,127,45,9,97,182,858
438,Tomáš Satoranský,PG,27,WAS,80,54,2164,257,530,64,162,193,368,131,160,82,197,279,399,82,13,120,172,709
439,Dennis Schröder,PG,25,OKC,79,14,2314,457,1104,124,364,333,740,186,227,38,246,284,323,65,12,172,189,1224
440,Mike Scott,PF,30,TOT,79,3,1395,168,420,101,252,67,168,22,33,43,233,276,66,26,13,44,156,459
441,Thabo Sefolosha,SF,34,UTA,50,2,609,71,149,34,78,37,71,14,22,8,115,123,27,43,5,25,41,190
442,Wayne Selden,SG,24,TOT,75,13,1439,196,483,55,174,141,309,67,92,37,143,180,109,33,13,79,131,514
443,Collin Sexton,PG,20,CLE,82,72,2605,519,1206,119,296,400,910,214,255,57,179,236,243,44,6,185,186,1371
444,Landry Shamet,SG,21,TOT,79,27,1802,240,557,167,396,73,161,75,93,21,113,134,117,37,10,45,155,722
445,Iman Shumpert,SG,28,TOT,62,41,1481,167,446,95,273,72,173,36,45,27,156,183,112,59,24,50,127,465
446,Pascal Siakam,PF,24,TOR,80,79,2548,519,945,79,214,440,731,237,302,124,425,549,248,73,52,154,241,1354
447,Jordan Sibert,SG,26,ATL,1,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
448,Ben Simmons,PG,22,PHI,79,79,2700,540,960,0,6,540,954,257,428,172,525,697,610,112,61,274,209,1337
450,Kobi Simmons,PG,21,CLE,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,Anfernee Simons,SG,19,POR,20,1,141,28,63,10,29,18,34,9,16,3,10,13,13,1,0,11,9,75
452,Marcus Smart,SG,24,BOS,80,60,2200,239,567,126,346,113,221,104,129,57,177,234,321,143,28,123,201,708
453,Dennis Smith,PG,21,TOT,53,50,1508,278,650,67,208,211,442,99,156,32,123,155,252,67,20,154,129,722
454,Ish Smith,PG,30,DET,56,0,1251,205,489,44,135,161,354,47,62,23,122,145,203,28,11,61,109,501
