Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tariq Abdul-Wahad,SG,27,TOT,24,12,441,55,147,1,2,54,145,24,33,41,43,84,24,20,10,27,56,135
2,Shareef Abdur-Rahim,PF,25,ATL,77,77,2980,598,1297,21,70,577,1227,419,523,198,498,696,239,98,81,250,214,1636
3,Courtney Alexander,SG,24,WAS,56,28,1325,223,474,5,18,218,456,98,121,43,105,148,86,35,7,60,113,549
4,Victor Alexander,C,32,DET,15,0,97,18,51,0,2,18,49,4,8,7,22,29,6,0,1,5,6,40
5,Malik Allen,PF,23,MIA,12,2,161,22,51,0,1,22,50,8,10,15,23,38,5,3,8,2,16,52
6,Ray Allen*,SG,26,MIL,69,67,2525,530,1148,229,528,301,620,214,245,81,231,312,271,88,18,159,157,1503
7,Rafer Alston,PG,25,MIL,50,7,600,66,191,27,71,39,120,18,29,10,62,72,143,32,2,40,42,177
8,John Amaechi,PF,31,UTA,54,0,586,54,166,0,0,54,166,67,105,52,57,109,29,7,10,55,64,175
9,Chris Andersen,C,23,DEN,24,1,262,25,74,0,4,25,70,22,28,38,38,76,7,7,28,13,35,72
10,Derek Anderson,SG,27,POR,70,27,1860,247,612,85,228,162,384,178,208,47,142,189,216,68,8,87,113,757
11,Kenny Anderson,PG,31,BOS,76,76,2430,312,716,9,33,303,683,98,132,57,218,275,403,141,10,119,210,731
12,Nick Anderson,SG,34,MEM,15,0,219,21,76,13,48,8,28,5,9,1,32,33,14,6,6,14,17,60
13,Shandon Anderson,SG,28,NYK,82,6,1596,149,373,39,141,110,232,74,107,57,192,249,76,48,15,97,134,411
14,Greg Anthony,PG,34,TOT,60,38,1514,183,475,48,163,135,312,60,91,22,110,132,282,77,5,94,114,474
15,Gilbert Arenas,PG,20,GSW,47,30,1155,174,384,39,113,135,271,124,160,41,91,132,174,69,11,97,115,511
16,Brandon Armstrong,SG,21,NJN,35,0,196,27,85,5,17,22,68,5,10,10,6,16,8,7,1,8,26,64
17,Darrell Armstrong,PG,33,ORL,82,79,2730,347,828,139,398,208,430,182,205,83,236,319,453,157,10,175,166,1015
18,Carlos Arroyo,PG,22,TOT,37,1,371,49,111,0,2,49,109,13,18,12,28,40,70,11,1,23,30,111
19,Chucky Atkins,PG,27,DET,79,62,2285,368,790,138,336,230,454,83,120,31,127,158,263,72,11,128,177,957
20,Stacey Augmon,SG,33,CHH,77,3,1319,140,328,0,3,140,325,77,101,59,166,225,103,56,12,54,115,357
21,Isaac Austin,C,32,MEM,21,8,307,36,92,0,3,36,89,4,4,11,60,71,13,9,5,11,36,76
22,William Avery,PG,22,MIN,28,0,258,26,90,6,35,20,55,13,19,4,20,24,36,7,0,19,17,71
23,Dalibor Bagarić,C,21,CHI,50,0,638,72,178,0,1,72,177,41,70,55,107,162,23,17,24,46,108,185
24,Vin Baker,C,30,SEA,55,41,1710,315,649,1,8,314,641,143,226,168,182,350,72,22,36,127,197,774
25,Erick Barkley,PG,23,POR,19,4,228,24,68,1,7,23,61,9,10,5,13,18,34,17,1,12,29,58
26,Dana Barros,PG,34,DET,29,20,582,74,192,24,71,50,121,21,27,1,56,57,78,14,2,33,37,193
27,Brent Barry,SG,30,SEA,81,81,3040,401,790,164,387,237,403,198,234,58,383,441,426,147,37,165,182,1164
28,Jon Barry,SG,32,DET,82,6,1985,255,522,121,258,134,264,108,116,42,192,234,274,94,20,111,134,739
29,Mengke Bateer,C,26,DEN,27,10,408,53,132,4,12,49,120,29,37,32,64,96,22,10,5,32,94,139
