Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,PF,31,SAC,6,0,51,3,14,0,0,3,14,4,4,6,4,10,4,1,0,1,9,10
2,Arron Afflalo,SG,22,DET,75,9,970,99,241,10,48,89,193,68,87,36,101,137,52,31,8,34,83,276
3,Maurice Ager,SG,23,TOT,26,3,165,21,65,3,19,18,46,6,12,4,9,13,8,0,1,6,17,51
4,Blake Ahearn,PG,23,MIA,12,0,177,15,57,10,34,5,23,30,31,1,18,19,19,6,0,16,20,70
5,LaMarcus Aldridge,PF,22,POR,76,76,2649,561,1160,1,7,560,1153,227,298,220,358,578,122,55,94,126,240,1350
6,Malik Allen,PF,29,TOT,73,16,1096,157,327,1,2,156,325,23,25,66,130,196,44,19,31,45,149,338
7,Ray Allen*,SG,32,BOS,73,73,2624,439,986,180,452,259,534,215,237,75,193,268,225,65,16,127,147,1273
8,Tony Allen,SG,26,BOS,75,11,1373,169,389,18,57,151,332,138,181,34,134,168,114,62,21,109,168,494
9,Lance Allred,C,26,CLE,3,0,10,1,4,0,0,1,4,1,2,0,1,1,0,0,0,0,1,3
10,Morris Almond,SG,22,UTA,9,0,39,4,15,1,4,3,11,4,6,0,2,2,3,1,0,2,5,13
11,Rafer Alston,PG,31,HOU,74,74,2526,364,924,143,407,221,517,98,137,28,232,260,392,98,18,160,139,969
12,Lou Amundson,PF,25,PHI,16,0,64,8,16,0,0,8,16,2,7,7,5,12,0,1,1,2,13,18
13,Chris Andersen,C,29,NOH,5,0,34,2,7,0,0,2,7,2,4,2,7,9,0,0,4,1,6,6
14,Derek Anderson,SG,33,CHA,28,0,396,47,125,19,52,28,73,28,38,9,43,52,44,12,1,25,49,141
15,Carmelo Anthony,SF,23,DEN,77,77,2806,728,1481,58,164,670,1317,464,590,178,393,571,259,98,39,253,253,1978
16,Joel Anthony,PF,25,MIA,24,1,498,28,60,0,0,28,60,29,49,38,55,93,3,9,31,17,55,85
17,Gilbert Arenas,PG,26,WAS,13,8,425,78,196,22,78,56,118,74,96,6,45,51,66,23,1,49,30,252
18,Trevor Ariza,SF,22,TOT,35,3,546,69,136,5,18,64,118,49,75,30,78,108,44,31,11,23,45,192
19,Darrell Armstrong,PG,39,NJN,50,2,549,40,110,23,69,17,41,20,30,17,50,67,73,28,2,41,53,123
20,Hilton Armstrong,C,23,NOH,65,3,732,67,148,0,0,67,148,44,70,65,98,163,23,15,34,59,130,178
21,Carlos Arroyo,PG,28,ORL,62,20,1269,157,348,29,84,128,264,87,102,10,103,113,219,26,2,77,85,430
