Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,PF,28,POR,54,49,1867,337,670,15,39,322,631,220,254,123,269,392,111,49,26,117,150,909
2,Cory Alexander,SG,31,CHA,16,1,201,16,49,8,19,8,30,9,12,8,21,29,37,9,1,19,29,49
3,Malik Allen,PF,26,TOT,36,1,519,84,177,0,0,84,177,26,28,40,59,99,18,9,22,18,53,194
4,Ray Allen*,SG,29,SEA,78,78,3064,640,1494,209,556,431,938,378,428,79,268,347,289,84,5,171,167,1867
5,Tony Allen,SG,23,BOS,77,34,1262,184,387,12,31,172,356,112,152,85,136,221,64,76,24,77,156,492
6,Rafer Alston,PG,28,TOR,80,78,2717,403,974,139,389,264,585,191,258,42,237,279,514,118,7,170,212,1136
7,Chris Andersen,C,26,NOH,67,2,1430,191,358,0,3,191,355,131,190,137,273,410,71,14,100,64,144,513
8,Derek Anderson,SG,30,POR,47,32,1239,152,391,58,151,94,240,70,87,25,103,128,143,36,4,70,89,432
9,Kenny Anderson,PG,34,TOT,43,20,743,85,201,6,13,79,188,27,37,24,64,88,103,33,0,49,87,203
11,Carmelo Anthony,SF,20,DEN,75,75,2608,530,1230,42,158,488,1072,456,573,141,285,426,194,68,30,224,229,1558
12,Rafael Araújo,C,24,TOR,59,41,736,76,175,1,3,75,172,43,55,59,126,185,16,21,8,52,157,196
13,Gilbert Arenas,PG,23,WAS,80,80,3274,656,1523,205,562,451,961,521,640,83,295,378,411,139,23,242,245,2038
14,Trevor Ariza,SF,19,NYK,80,12,1382,172,389,3,13,169,376,121,174,89,153,242,85,70,18,73,150,468
15,Darrell Armstrong,PG,36,TOT,66,16,988,89,277,28,111,61,166,58,68,35,80,115,178,45,8,67,92,264
16,Carlos Arroyo,PG,25,TOT,70,16,1448,167,429,8,30,159,399,119,149,26,78,104,280,44,4,107,143,461
17,Chucky Atkins,PG,30,LAL,82,82,2903,388,910,176,455,212,455,163,203,31,166,197,358,73,2,151,181,1115
18,Stacey Augmon,SF,36,ORL,55,7,663,68,167,0,0,68,167,57,77,45,54,99,36,23,8,31,83,193
19,Maurice Baker,PG,25,TOT,5,0,19,0,1,0,0,0,1,0,0,1,1,2,1,1,0,1,3,0
21,Marcus Banks,PG,23,BOS,81,2,1145,115,286,21,59,94,227,121,163,29,97,126,155,63,13,79,146,372
22,Leandro Barbosa,PG,22,PHO,63,6,1087,168,354,51,139,117,215,55,69,32,98,130,126,30,7,87,127,442
23,Matt Barnes,SF,24,SAC,43,9,715,62,151,5,22,57,129,35,58,49,84,133,57,30,7,45,80,164
