Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Arron Afflalo,SG,24,DEN,82,75,2221,272,585,108,249,164,336,72,98,59,193,252,138,46,30,74,225,724
2,Alexis Ajinça,C,21,CHA,6,0,30,5,10,0,0,5,10,0,1,1,3,4,0,1,1,2,5,10
3,LaMarcus Aldridge,PF,24,POR,78,78,2922,579,1169,5,16,574,1153,230,304,192,435,627,160,67,48,104,231,1393
4,Joe Alexander,SF,23,CHI,8,0,29,1,6,0,1,1,5,2,3,2,3,5,2,1,1,0,9,4
5,Malik Allen,PF,31,DEN,51,3,456,46,116,1,6,45,110,12,13,36,46,82,16,11,5,22,68,105
6,Ray Allen*,SG,34,BOS,80,80,2819,464,973,145,399,319,574,231,253,45,208,253,210,64,25,129,182,1304
7,Tony Allen,SG,28,BOS,54,8,889,129,253,0,5,129,248,72,119,52,93,145,72,59,19,66,109,330
8,Rafer Alston,PG,33,TOT,52,38,1421,155,446,58,168,97,278,59,81,13,116,129,176,50,10,95,103,427
9,Lou Amundson,PF,27,PHO,79,0,1168,152,276,0,1,152,275,67,123,128,218,346,31,24,73,57,169,371
10,Chris Andersen,PF,31,DEN,76,0,1695,142,251,0,3,142,248,164,236,147,336,483,33,42,143,59,171,448
11,David Andersen,C,29,HOU,63,0,891,147,340,27,78,120,262,46,67,54,154,208,44,15,12,37,119,367
12,Antonio Anderson,SF,24,OKC,1,0,15,1,3,0,0,1,3,0,0,1,0,1,0,0,0,1,1,2
13,Ryan Anderson,PF,21,ORL,63,6,911,169,388,78,211,91,177,71,82,70,132,202,37,25,14,56,81,487
14,Carmelo Anthony,SF,25,DEN,69,69,2634,688,1502,59,187,629,1315,508,612,152,302,454,222,88,30,209,225,1943
15,Joel Anthony,C,27,MIA,80,16,1322,76,159,0,0,76,159,66,92,123,126,249,12,20,109,45,158,218
16,Gilbert Arenas,PG,28,WAS,32,32,1169,253,616,63,181,190,435,153,207,17,116,133,230,41,9,117,95,722
17,Trevor Ariza,SF,24,HOU,72,71,2629,394,999,136,407,258,592,148,228,78,325,403,276,126,40,161,162,1072
19,Carlos Arroyo,PG,30,MIA,72,35,1585,178,375,7,25,171,350,76,90,26,104,130,225,36,6,54,102,439
20,Darrell Arthur,PF,21,MEM,32,1,457,63,146,0,1,63,145,17,30,37,73,110,15,14,14,22,60,143
21,Chucky Atkins,PG,35,DET,40,11,644,57,157,22,73,35,84,25,27,5,24,29,91,17,0,32,53,161
22,D.J. Augustin,PG,22,CHA,80,2,1472,168,435,70,178,98,257,102,131,11,86,97,193,45,5,74,127,508
