Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,C,30,SAC,80,45,2015,310,654,3,20,307,634,170,234,122,276,398,109,53,40,116,243,793
2,Hassan Adams,SG,22,NJN,61,8,495,75,135,0,1,75,134,24,36,35,42,77,13,17,4,22,47,174
3,Maurice Ager,SG,22,DAL,32,1,214,22,70,5,15,17,55,20,33,1,20,21,7,4,3,15,27,69
4,LaMarcus Aldridge,C,21,POR,63,22,1392,241,479,0,2,241,477,83,115,144,168,312,24,22,73,43,186,565
5,Malik Allen,PF,28,CHI,60,1,638,107,258,0,1,107,257,28,34,42,77,119,16,17,16,21,85,242
6,Ray Allen*,SG,31,SEA,55,55,2219,505,1153,165,443,340,710,279,309,57,190,247,228,82,11,154,113,1454
7,Tony Allen,SG,25,BOS,33,18,805,133,259,8,33,125,226,105,134,35,89,124,56,49,12,75,87,379
8,Rafer Alston,PG,30,HOU,82,82,3040,383,1020,192,529,191,491,130,177,29,253,282,444,129,10,170,195,1088
9,Lou Amundson,PF,24,TOT,11,0,89,6,15,0,0,6,15,4,10,13,15,28,1,1,8,5,15,16
10,Alan Anderson,SG,24,CHA,17,0,256,37,81,5,20,32,61,19,23,11,21,32,21,7,0,22,33,98
11,Derek Anderson,SF,32,CHA,50,32,1190,126,294,54,152,72,142,93,106,29,84,113,133,52,7,56,115,399
12,Carmelo Anthony,SF,22,DEN,65,65,2486,691,1453,40,149,651,1304,459,568,143,248,391,249,77,23,234,203,1881
13,Rafael Araújo,C,26,UTA,28,0,248,27,65,0,0,27,65,18,29,22,44,66,10,6,2,17,39,72
14,Gilbert Arenas,PG,25,WAS,74,73,2942,647,1548,205,584,442,964,606,718,61,277,338,443,139,13,236,249,2105
15,Trevor Ariza,SG,21,ORL,57,7,1278,200,371,0,7,200,364,106,171,98,151,249,65,59,19,84,134,506
16,Darrell Armstrong,PG,38,IND,81,4,1275,156,377,72,214,84,163,73,93,34,101,135,191,70,6,76,102,457
17,Hilton Armstrong,C,22,NOK,56,5,634,68,125,0,0,68,125,40,67,58,91,149,10,12,26,35,79,176
18,Carlos Arroyo,PG,27,ORL,72,5,1304,203,478,14,51,189,427,132,166,31,103,134,202,39,2,90,131,552
19,Chucky Atkins,PG,32,MEM,75,23,2064,310,715,116,306,194,409,252,311,18,121,139,346,50,4,127,136,988
20,James Augustine,PF,22,ORL,2,0,7,1,3,0,0,1,3,0,0,1,2,3,2,0,0,0,2,2
21,Kelenna Azubuike,SG,23,GSW,41,9,669,98,220,34,79,64,141,61,78,26,68,94,28,22,10,39,49,291
22,Renaldo Balkman,SF,22,NYK,68,1,1064,139,275,5,27,134,248,51,90,97,197,294,44,57,44,49,146,334
23,Marcus Banks,PG,25,PHO,45,1,503,84,196,5,29,79,167,48,60,10,28,38,60,23,3,40,70,221
24,Leandro Barbosa,SG,24,PHO,80,18,2613,529,1111,190,438,339,673,196,232,22,192,214,317,96,15,146,210,1444
