Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
326,Vitaly Potapenko,C,24,BOS,79,72,22.7,3.9,7.8,0.0,0.0,3.9,7.8,1.4,2.0,2.3,4.0,6.3,1.0,0.5,0.4,1.8,3.0,9.2
327,Brent Price,PG,31,VAN,41,0,10.3,1.0,2.9,0.6,1.7,0.4,1.2,0.8,1.0,0.2,0.7,0.9,1.7,0.4,0.0,1.1,1.5,3.4
328,Laron Profit,SG,22,WAS,33,1,6.8,0.6,1.8,0.1,0.5,0.5,1.3,0.1,0.3,0.1,0.7,0.8,0.8,0.2,0.1,0.6,0.8,1.5
329,Aleksandar Radojević,C,23,TOR,3,0,8.0,0.7,2.3,0.0,0.0,0.7,2.3,1.0,2.0,0.7,2.0,2.7,0.3,0.7,0.3,1.7,1.7,2.3
330,Theo Ratliff,PF,26,PHI,57,56,31.5,4.3,8.6,0.0,0.0,4.3,8.6,3.2,4.1,2.5,5.2,7.6,0.6,0.6,3.0,1.9,3.2,11.9
331,Eldridge Recasner,PG,32,CHH,7,0,4.0,0.4,1.0,0.1,0.6,0.3,0.4,0.0,0.0,0.0,0.6,0.6,0.7,0.0,0.0,0.0,0.1,1.0
332,Bryant Reeves,C,26,VAN,69,67,25.7,3.7,8.1,0.0,0.1,3.7,8.1,1.6,2.4,1.8,3.8,5.7,1.2,0.5,0.6,1.7,3.6,8.9
333,Khalid Reeves,PG,27,CHI,3,0,16.0,1.0,4.0,0.0,1.0,1.0,3.0,1.7,1.7,0.7,0.7,1.3,4.3,0.7,0.0,2.0,2.7,3.7
334,Don Reid,PF,26,TOT,38,3,13.1,1.6,2.9,0.0,0.0,1.6,2.9,0.6,0.9,0.8,1.9,2.7,0.3,0.6,0.8,0.6,3.1,3.8
335,J.R. Reid,PF,31,MIL,34,7,17.7,1.6,3.7,0.0,0.2,1.5,3.5,1.3,1.6,0.9,2.6,3.4,0.5,0.6,0.1,0.6,2.4,4.4
336,Rodrick Rhodes,SF,26,DAL,1,0,8.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
337,Glen Rice,SF,32,LAL,80,80,31.6,5.3,12.3,1.1,2.9,4.2,9.4,4.3,5.0,0.7,3.4,4.1,2.2,0.6,0.2,1.4,2.2,15.9
338,Mitch Richmond*,SG,34,WAS,74,69,32.4,6.0,14.2,1.3,3.3,4.8,10.9,4.0,4.6,0.5,2.4,2.9,2.5,1.5,0.2,2.1,2.6,17.4
339,Isaiah Rider,SG,28,ATL,60,47,34.7,7.5,17.9,0.9,3.0,6.6,14.9,3.4,4.3,1.1,3.3,4.3,3.7,0.7,0.1,2.8,2.2,19.3
340,Stanley Roberts,C,29,PHI,5,1,10.2,1.0,3.2,0.0,0.2,1.0,3.0,0.0,0.6,1.2,1.8,3.0,0.6,0.2,0.2,0.4,3.0,2.0
341,Ryan Robertson,SG,23,SAC,1,0,25.0,2.0,6.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
342,Clifford Robinson,SF,33,PHO,80,67,35.5,6.6,14.3,1.5,4.1,5.1,10.2,3.7,4.8,1.3,3.2,4.5,2.8,1.1,0.8,2.1,3.0,18.5
343,David Robinson*,C,34,SAS,80,80,32.0,6.6,12.9,0.0,0.0,6.6,12.9,4.6,6.4,2.4,7.2,9.6,1.8,1.2,2.3,2.1,3.1,17.8
344,Eddie Robinson,SF,23,CHH,67,8,16.6,3.2,5.8,0.0,0.1,3.2,5.7,0.7,1.0,0.8,1.9,2.7,0.5,0.7,0.4,0.6,1.0,7.0
345,Glenn Robinson,SF,27,MIL,81,81,35.9,8.5,18.0,1.1,2.9,7.5,15.1,2.8,3.5,1.3,4.7,6.0,2.4,1.0,0.5,2.8,2.6,20.9
346,Dennis Rodman*,PF,38,DAL,12,12,32.4,1.0,2.6,0.0,0.1,1.0,2.5,0.8,1.2,4.0,10.3,14.3,1.2,0.2,0.1,1.6,3.4,2.8
347,Carlos Rogers,C,28,HOU,53,15,20.8,3.2,6.1,0.0,0.3,3.2,5.8,1.5,2.6,1.8,3.3,5.2,0.8,0.3,0.6,1.2,1.5,8.0
348,Rodney Rogers,PF,28,PHO,82,7,27.9,5.2,10.7,1.4,3.2,3.8,7.5,1.9,3.0,1.7,3.8,5.5,2.1,1.1,0.6,2.0,3.5,13.8
349,Roy Rogers,PF,26,DEN,40,0,8.9,0.9,2.2,0.0,0.0,0.9,2.2,0.5,1.0,0.8,1.2,2.0,0.2,0.1,1.0,0.3,0.9,2.2
350,Sean Rooks,C,30,DAL,71,13,14.1,1.7,4.0,0.0,0.0,1.7,4.0,0.9,1.3,1.2,2.3,3.5,1.0,0.4,0.7,1.0,2.4,4.4
351,Jalen Rose,SF,27,IND,80,80,37.2,7.0,15.0,1.0,2.5,6.1,12.5,3.2,3.8,0.5,4.3,4.8,4.0,1.1,0.6,2.4,2.9,18.2
352,Malik Rose,PF,25,SAS,74,3,18.1,2.4,5.2,0.0,0.0,2.4,5.2,1.9,2.7,1.8,2.7,4.5,0.6,0.5,0.7,1.3,3.1,6.7
